,url,bias_class,reliability_class,reliability_score,bias_score,outlet,outlet_labels,adfontes_url
1,https://adfontesmedia.com/19th-news-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",45.18,-9.89,19th News,2,https://adfontesmedia.com/19th-news-bias-and-reliability/
2,https://adfontesmedia.com/abc-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.65,-4.69,ABC News,2,https://adfontesmedia.com/abc-news-bias-and-reliability/
3,https://adfontesmedia.com/advocate-magazine-bias-and-reliability-2/,skews left,"generally reliable, analysis or other issues",37.78,-15.03,Advocate Magazine,1,https://adfontesmedia.com/advocate-magazine-bias-and-reliability-2/
4,https://adfontesmedia.com/agence-france-presse-bias-reliability/,middle,"reliable, fact reporting",48.05,-2.01,Agence France-Presse,2,https://adfontesmedia.com/agence-france-presse-bias-reliability/
5,https://adfontesmedia.com/al-com-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.6,-1.56,AL.com,2,https://adfontesmedia.com/al-com-bias-and-reliability/
6,https://adfontesmedia.com/al-jazeera-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.69,-4.82,Al Jazeera,2,https://adfontesmedia.com/al-jazeera-bias-and-reliability/
7,https://adfontesmedia.com/alex-jones-show-bias-and-reliability/,most extreme right,"unreliable, inaccurate",6.67,31.67,The Alex Jones Show,0,https://adfontesmedia.com/alex-jones-show-bias-and-reliability/
8,https://adfontesmedia.com/all-in-with-chris-hayes-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",38.17,-16.0,All In with Chris Hayes,1,https://adfontesmedia.com/all-in-with-chris-hayes-bias-and-reliability/
9,https://adfontesmedia.com/alternet-bias-and-reliability/,hyper-partisan left,"unreliable, problematic",23.28,-19.34,AlterNet,0,https://adfontesmedia.com/alternet-bias-and-reliability/
10,https://adfontesmedia.com/american-conservative-bias-and-reliability/,skews right,"generally reliable, analysis or other issues",32.58,13.66,The American Conservative,1,https://adfontesmedia.com/american-conservative-bias-and-reliability/
11,https://adfontesmedia.com/american-greatness-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",19.75,23.09,American Greatness,0,https://adfontesmedia.com/american-greatness-bias-and-reliability/
12,https://adfontesmedia.com/american-independent-bias-reliability/,skews left,"generally reliable, analysis or other issues",38.49,-14.71,American Independent,1,https://adfontesmedia.com/american-independent-bias-reliability/
13,https://adfontesmedia.com/american-prospect-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",35.21,-14.92,American Prospect,1,https://adfontesmedia.com/american-prospect-bias-and-reliability/
14,https://adfontesmedia.com/american-spectator-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",20.41,23.07,The American Spectator,0,https://adfontesmedia.com/american-spectator-bias-and-reliability/
15,https://adfontesmedia.com/american-thinker-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",19.08,25.29,American Thinker,0,https://adfontesmedia.com/american-thinker-bias-and-reliability/
16,https://adfontesmedia.com/anderson-cooper-360-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",38.71,-13.52,Anderson Cooper 360,1,https://adfontesmedia.com/anderson-cooper-360-bias-and-reliability/
17,https://adfontesmedia.com/ap-bias-and-reliability/,middle,"reliable, fact reporting",49.36,-2.12,AP,2,https://adfontesmedia.com/ap-bias-and-reliability/
18,https://adfontesmedia.com/arizona-daily-star-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.91,-2.07,Arizona Daily Star,2,https://adfontesmedia.com/arizona-daily-star-bias-and-reliability/
19,https://adfontesmedia.com/army-times-bias-and-reliability/,middle,"reliable, fact reporting",47.8,0.31,Army Times,2,https://adfontesmedia.com/army-times-bias-and-reliability/
20,https://adfontesmedia.com/ars-technica-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.2,-2.05,ARS Technica,2,https://adfontesmedia.com/ars-technica-bias-and-reliability/
21,https://adfontesmedia.com/aspen-times-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.32,-0.32,Aspen Times,2,https://adfontesmedia.com/aspen-times-bias-and-reliability/
22,https://adfontesmedia.com/atlanta-black-star-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.68,-4.95,Atlanta Black Star,2,https://adfontesmedia.com/atlanta-black-star-bias-and-reliability/
23,https://adfontesmedia.com/atlanta-journal-constitution-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.43,-3.27,Atlanta Journal-Constitution,2,https://adfontesmedia.com/atlanta-journal-constitution-bias-and-reliability/
24,https://adfontesmedia.com/axios-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.67,-3.97,Axios,2,https://adfontesmedia.com/axios-bias-and-reliability/
25,https://adfontesmedia.com/az-central-bias-and-reliability/,middle,"reliable, analysis/fact reporting",43.55,-5.12,AZ Central,1,https://adfontesmedia.com/az-central-bias-and-reliability/
26,https://adfontesmedia.com/baltimore-sun-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.78,-5.53,Baltimore Sun,2,https://adfontesmedia.com/baltimore-sun-bias-and-reliability/
27,https://adfontesmedia.com/bbc-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.4,-2.5,BBC,2,https://adfontesmedia.com/bbc-bias-and-reliability/
28,https://adfontesmedia.com/bearing-arms-bias-and-reliability/,hyper-partisan right,"mixed reliability, opinion or other issues",26.82,19.46,Bearing Arms,0,https://adfontesmedia.com/bearing-arms-bias-and-reliability/
29,https://adfontesmedia.com/before-its-news-bias-and-reliability/,most extreme right,"unreliable, inaccurate",4.67,31.04,Before Its News,0,https://adfontesmedia.com/before-its-news-bias-and-reliability/
30,https://adfontesmedia.com/ben-shapiro-show-bias-and-reliability/,hyper-partisan right,"mixed reliability, opinion or other issues",25.81,20.81,The Ben Shapiro Show,0,https://adfontesmedia.com/ben-shapiro-show-bias-and-reliability/
31,https://adfontesmedia.com/big-league-politics-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",18.46,25.33,Big League Politics,0,https://adfontesmedia.com/big-league-politics-bias-and-reliability/
32,https://adfontesmedia.com/bill-oreilly-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",21.72,25.55,Bill OReilly,0,https://adfontesmedia.com/bill-oreilly-bias-and-reliability/
33,https://adfontesmedia.com/billboard-bias-and-reliability/,middle,"reliable, analysis/fact reporting",40.73,-2.23,Billboard,1,https://adfontesmedia.com/billboard-bias-and-reliability/
34,https://adfontesmedia.com/bipartisan-report-bias-and-reliability/,hyper-partisan left,"unreliable, problematic",21.53,-21.78,Bipartisan Report,0,https://adfontesmedia.com/bipartisan-report-bias-and-reliability/
35,https://adfontesmedia.com/bloomberg-government-bias-and-reliability/,middle,"reliable, fact reporting",47.17,-5.37,Bloomberg Government,2,https://adfontesmedia.com/bloomberg-government-bias-and-reliability/
36,https://adfontesmedia.com/bloomberg-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.71,-2.75,Bloomberg News,2,https://adfontesmedia.com/bloomberg-news-bias-and-reliability/
37,https://adfontesmedia.com/boing-boing-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",39.13,-7.05,Boing Boing,1,https://adfontesmedia.com/boing-boing-bias-and-reliability/
38,https://adfontesmedia.com/boston-globe-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",44.73,-9.63,Boston Globe,2,https://adfontesmedia.com/boston-globe-bias-and-reliability/
39,https://adfontesmedia.com/boston-herald-bias-and-reliability/,skews right,"reliable, analysis/fact reporting",40.34,10.23,Boston Herald,1,https://adfontesmedia.com/boston-herald-bias-and-reliability/
40,https://adfontesmedia.com/breitbart-bias-and-reliability/,skews right,"mixed reliability, opinion or other issues",30.04,17.1,Breitbart,1,https://adfontesmedia.com/breitbart-bias-and-reliability/
41,https://adfontesmedia.com/bring-me-the-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.93,-1.98,Bring Me the News,2,https://adfontesmedia.com/bring-me-the-news-bias-and-reliability/
42,https://adfontesmedia.com/buzzfeed-news-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",43.43,-7.71,BuzzFeed News,1,https://adfontesmedia.com/buzzfeed-news-bias-and-reliability/
43,https://adfontesmedia.com/capitol-weekly-bias-and-reliability/,middle,"generally reliable, analysis or other issues",38.91,-2.4,Capitol Weekly,1,https://adfontesmedia.com/capitol-weekly-bias-and-reliability/
44,https://adfontesmedia.com/cato-institute-bias-and-reliability/,skews right,"reliable, analysis/fact reporting",41.17,6.2,Cato Institute,1,https://adfontesmedia.com/cato-institute-bias-and-reliability/
45,https://adfontesmedia.com/cbs-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.98,-3.56,CBS News,2,https://adfontesmedia.com/cbs-bias-and-reliability/
46,https://adfontesmedia.com/cfo-bias-and-reliability/,middle,"reliable, fact reporting",47.67,-0.02,CFO,2,https://adfontesmedia.com/cfo-bias-and-reliability/
47,https://adfontesmedia.com/charleston-gazette-mail-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.43,-3.71,Charleston Gazette-Mail,2,https://adfontesmedia.com/charleston-gazette-mail-bias-and-reliability/
48,https://adfontesmedia.com/chicago-sun-times-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.84,-4.6,Chicago Sun-Times,2,https://adfontesmedia.com/chicago-sun-times-bias-and-reliability/
49,https://adfontesmedia.com/chicago-tribune-bias-and-reliability-2/,middle,"reliable, analysis/fact reporting",45.84,-3.11,Chicago Tribune,2,https://adfontesmedia.com/chicago-tribune-bias-and-reliability-2/
50,https://adfontesmedia.com/chicks-on-the-right-bias-and-reliability/,hyper-partisan right,"mixed reliability, opinion or other issues",24.18,19.03,Chicks on the Right,0,https://adfontesmedia.com/chicks-on-the-right-bias-and-reliability/
51,https://adfontesmedia.com/christian-broadcasting-network-bias-and-reliability/,skews right,"generally reliable, analysis or other issues",33.34,16.05,CBN,1,https://adfontesmedia.com/christian-broadcasting-network-bias-and-reliability/
52,https://adfontesmedia.com/christian-science-monitor-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.43,-2.38,Christian Science Monitor,2,https://adfontesmedia.com/christian-science-monitor-bias-and-reliability/
53,https://adfontesmedia.com/christianity-today-bias-and-reliability/,skews right,"reliable, analysis/fact reporting",41.92,6.26,Christianity Today,1,https://adfontesmedia.com/christianity-today-bias-and-reliability/
54,https://adfontesmedia.com/chron-com-bias-and-reliability/,middle,"reliable, fact reporting",48.04,-0.52,Chron.com,2,https://adfontesmedia.com/chron-com-bias-and-reliability/
55,https://adfontesmedia.com/cleveland-com-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.85,-0.67,Cleveland.com,2,https://adfontesmedia.com/cleveland-com-bias-and-reliability/
56,https://adfontesmedia.com/cnbc/,middle,"reliable, analysis/fact reporting",46.71,-1.83,CNBC,2,https://adfontesmedia.com/cnbc/
57,https://adfontesmedia.com/cnet-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.0,-0.49,CNET,2,https://adfontesmedia.com/cnet-bias-and-reliability/
58,https://adfontesmedia.com/cnncom-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",42.95,-8.93,CNN,1,https://adfontesmedia.com/cnncom-bias-and-reliability/
59,https://adfontesmedia.com/cnsnews-bias-and-reliability/,skews right,"generally reliable, analysis or other issues",33.75,15.6,CNSNews,1,https://adfontesmedia.com/cnsnews-bias-and-reliability/
60,https://adfontesmedia.com/colorado-daily-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.38,-2.44,Colorado Daily,2,https://adfontesmedia.com/colorado-daily-bias-and-reliability/
61,https://adfontesmedia.com/columbia-journalism-review-bias-and-reliability/,middle,"reliable, analysis/fact reporting",43.6,-5.98,Columbia Journalism Review,1,https://adfontesmedia.com/columbia-journalism-review-bias-and-reliability/
62,https://adfontesmedia.com/comic-sands-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",31.99,-9.21,Comic Sands,1,https://adfontesmedia.com/comic-sands-bias-and-reliability/
63,https://adfontesmedia.com/common-dreams-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",39.54,-17.88,Common Dreams,1,https://adfontesmedia.com/common-dreams-bias-and-reliability/
64,https://adfontesmedia.com/conservative-review-bias-and-reliability/,hyper-partisan right,"mixed reliability, opinion or other issues",24.48,19.37,Conservative Review,0,https://adfontesmedia.com/conservative-review-bias-and-reliability/
65,https://adfontesmedia.com/consider-this-from-npr-bias-and-reliability/,middle,"reliable, fact reporting",47.89,-3.67,Consider This from NPR,2,https://adfontesmedia.com/consider-this-from-npr-bias-and-reliability/
66,https://adfontesmedia.com/consortium-news-bias-reliability/,hyper-partisan left,"mixed reliability, opinion or other issues",26.97,-19.16,Consortium News,0,https://adfontesmedia.com/consortium-news-bias-reliability/
67,https://adfontesmedia.com/cosmopolitan-bias-and-reliability/,skews left,"mixed reliability, opinion or other issues",28.91,-13.2,Cosmopolitan,0,https://adfontesmedia.com/cosmopolitan-bias-and-reliability/
68,https://adfontesmedia.com/counterpunch-bias-and-reliability/,hyper-partisan left,"mixed reliability, opinion or other issues",29.19,-20.28,CounterPunch,0,https://adfontesmedia.com/counterpunch-bias-and-reliability/
69,https://adfontesmedia.com/crooks-and-liars-bias-and-reliability/,hyper-partisan left,"mixed reliability, opinion or other issues",28.26,-21.68,Crooks and Liars,0,https://adfontesmedia.com/crooks-and-liars-bias-and-reliability/
70,https://adfontesmedia.com/cuomo-prime-time-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",33.47,-18.0,Cuomo Prime Time,1,https://adfontesmedia.com/cuomo-prime-time-bias-and-reliability/
71,https://adfontesmedia.com/current-affairs-bias-and-reliability/,hyper-partisan left,"generally reliable, analysis or other issues",33.39,-18.63,Current Affairs,1,https://adfontesmedia.com/current-affairs-bias-and-reliability/
72,https://adfontesmedia.com/daily-beast-bias-reliability/,skews left,"generally reliable, analysis or other issues",36.65,-15.58,Daily Beast,1,https://adfontesmedia.com/daily-beast-bias-reliability/
73,https://adfontesmedia.com/daily-caller-bias-and-reliability/,skews right,"mixed reliability, opinion or other issues",30.77,16.29,Daily Caller,1,https://adfontesmedia.com/daily-caller-bias-and-reliability/
74,https://adfontesmedia.com/daily-dot-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",36.99,-12.48,Daily Dot,1,https://adfontesmedia.com/daily-dot-bias-and-reliability/
75,https://adfontesmedia.com/daily-herald-chicago-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.05,-0.19,Daily Herald-Chicago,2,https://adfontesmedia.com/daily-herald-chicago-bias-and-reliability/
76,https://adfontesmedia.com/daily-kos-bias-and-reliability/,hyper-partisan left,"mixed reliability, opinion or other issues",29.83,-18.7,Daily Kos,1,https://adfontesmedia.com/daily-kos-bias-and-reliability/
77,https://adfontesmedia.com/daily-mail-bias-and-reliability/,middle,"mixed reliability, opinion or other issues",30.77,1.93,Daily Mail,1,https://adfontesmedia.com/daily-mail-bias-and-reliability/
78,https://adfontesmedia.com/daily-signal-bias-and-reliability/,hyper-partisan right,"mixed reliability, opinion or other issues",28.76,18.07,Daily Signal,0,https://adfontesmedia.com/daily-signal-bias-and-reliability/
79,https://adfontesmedia.com/daily-torch-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",18.06,20.28,Daily Torch,0,https://adfontesmedia.com/daily-torch-bias-and-reliability/
80,https://adfontesmedia.com/daily-wire-bias-and-reliability/,skews right,"generally reliable, analysis or other issues",33.88,14.3,Daily Wire,1,https://adfontesmedia.com/daily-wire-bias-and-reliability/
81,https://adfontesmedia.com/dallas-morning-news-bias-reliability/,middle,"reliable, analysis/fact reporting",44.06,-2.5,Dallas Morning News,2,https://adfontesmedia.com/dallas-morning-news-bias-reliability/
82,https://adfontesmedia.com/dan-bongino-show-bias-and-reliability/,most extreme right,"unreliable, misleading",14.29,30.52,The Dan Bongino Show,0,https://adfontesmedia.com/dan-bongino-show-bias-and-reliability/
83,https://adfontesmedia.com/deadline-bias-and-reliability/,middle,"reliable, analysis/fact reporting",41.53,-5.63,Deadline,1,https://adfontesmedia.com/deadline-bias-and-reliability/
84,https://adfontesmedia.com/defense-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",44.78,2.8,Defense News,2,https://adfontesmedia.com/defense-news-bias-and-reliability/
85,https://adfontesmedia.com/democracy-now-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",32.16,-16.82,Democracy Now,1,https://adfontesmedia.com/democracy-now-bias-and-reliability/
86,https://adfontesmedia.com/denver-post-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.97,-3.17,Denver Post,2,https://adfontesmedia.com/denver-post-bias-and-reliability/
87,https://adfontesmedia.com/deseret-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",44.29,0.76,Deseret News,2,https://adfontesmedia.com/deseret-news-bias-and-reliability/
88,https://adfontesmedia.com/detroit-free-press-bias-and-reliability/,middle,"reliable, fact reporting",48.09,-4.09,Detroit Free Press,2,https://adfontesmedia.com/detroit-free-press-bias-and-reliability/
89,https://adfontesmedia.com/detroit-news-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.81,-2.36,Detroit News,2,https://adfontesmedia.com/detroit-news-bias-and-reliability/
90,https://adfontesmedia.com/don-lemon-tonight-bias-and-reliability/,hyper-partisan left,"generally reliable, analysis or other issues",32.06,-20.15,Don Lemon Tonight,1,https://adfontesmedia.com/don-lemon-tonight-bias-and-reliability/
91,https://adfontesmedia.com/education-week-bias-and-reliability/,middle,"reliable, analysis/fact reporting",43.49,-3.79,Education Week,1,https://adfontesmedia.com/education-week-bias-and-reliability/
92,https://adfontesmedia.com/elite-daily-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",34.05,-10.78,Elite Daily,1,https://adfontesmedia.com/elite-daily-bias-and-reliability/
93,https://adfontesmedia.com/elle-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",36.48,-8.51,Elle,1,https://adfontesmedia.com/elle-bias-and-reliability/
94,https://adfontesmedia.com/engadget-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.16,-1.59,Engadget,2,https://adfontesmedia.com/engadget-bias-and-reliability/
95,https://adfontesmedia.com/epoch-times-bias-and-reliability/,hyper-partisan right,"unreliable, problematic",21.54,20.85,Epoch Times,0,https://adfontesmedia.com/epoch-times-bias-and-reliability/
96,https://adfontesmedia.com/esquire-bias-and-reliability/,skews left,"mixed reliability, opinion or other issues",28.68,-17.59,Esquire,0,https://adfontesmedia.com/esquire-bias-and-reliability/
97,https://adfontesmedia.com/face-the-nation-bias-and-reliability/,middle,"reliable, fact reporting",48.78,-4.44,Face the Nation,2,https://adfontesmedia.com/face-the-nation-bias-and-reliability/
98,https://adfontesmedia.com/fair-bias-and-reliability/,hyper-partisan left,"generally reliable, analysis or other issues",32.91,-19.41,FAIR,1,https://adfontesmedia.com/fair-bias-and-reliability/
99,https://adfontesmedia.com/fair-observer-bias-and-reliability/,skews left,"generally reliable, analysis or other issues",36.85,-8.24,Fair Observer,1,https://adfontesmedia.com/fair-observer-bias-and-reliability/
100,https://adfontesmedia.com/federalist-bias-and-reliability/,hyper-partisan right,"mixed reliability, opinion or other issues",26.63,20.25,The Federalist,0,https://adfontesmedia.com/federalist-bias-and-reliability/
101,https://adfontesmedia.com/financial-buzz-bias-and-reliability/,middle,"reliable, analysis/fact reporting",46.59,-0.03,Financial Buzz,2,https://adfontesmedia.com/financial-buzz-bias-and-reliability/
102,https://adfontesmedia.com/financial-times-bias-and-reliability/,middle,"reliable, analysis/fact reporting",45.13,-3.64,Financial Times,2,https://adfontesmedia.com/financial-times-bias-and-reliability/
103,https://adfontesmedia.com/fiscal-times-bias-and-reliability/,middle,"reliable, analysis/fact reporting",44.85,-0.38,Fiscal Times,2,https://adfontesmedia.com/fiscal-times-bias-and-reliability/
104,https://adfontesmedia.com/fivethirtyeight-bias-and-reliability/,skews left,"reliable, analysis/fact reporting",43.5,-7.07,FiveThirtyEight,1,https://adfontesmedia.com/fivethirtyeight-bias-and-reliability/
105,https://adfontesmedia.com/forbes-bias-and-reliability/,middle,"reliable, analysis/fact reporting",43.8,-3.03,Forbes,1,https://adfontesmedia.com/forbes-bias-and-reliability/
